resource,anchor
"Ade AdegboÌ£la E A. *Traditional Religion in West Africa*. Ibadan, Oyo, Nigeria: Sefer, 1998.",ade
"Akoto-Abutiate, Dorothy BEA. ""The Ewe-Speaking Peoples"". In Proverbs and the African Tree of Life, (Leiden, The Netherlands: Brill, 2014) doi: <https://doi.org/10.1163/9789004274471_003>.",akoto
"Anku, Willie. ""Drumming Among the Akan and Anlo Ewe of Ghana: An Introduction."" African Music 8, no. 3 (2009): 38-64. Accessed July 13, 2021. <http://www.jstor.org/stable/20788927>.",anku
"Antubam, Kofi. *Ghana's Heritage*. Koehler &amp; Amelang Leipzig, 1963. ",antubam
"Brown, Howard Mayer, and Frances Palmer. ""Membranophone."" Grove Music Online. 2001; Accessed 8 Jul. 2021.",brown
"Brown, Howard Mayer, and Frances Palmer. ""Aerophone."" Grove Music Online. 2001; Accessed 8 Jul. 2021.",brown2
"Brown, Howard Mayer, and Frances Palmer. ""Chordophone."" Grove Music Online. 2001; Accessed 8 Jul. 2021.",brown3
"Brown, Howard Mayer, and Frances Palmer. ""Idiophone."" Grove Music Online. 2001; Accessed 8 Jul. 2021.",brown4
"Gocking, Roger. *History of Ghana (The Greenwood Histories of the Modern Nations)*. Westport, CT: Greenwood Publishing Group, 2005.",gocking
"Meyer, B. (1999). Translating the Devil: Religion and modernity among the Ewe in Ghana. Africa World. ",meyer
"Nii-Yartey, Francis, Marian Horowitz, Andrews K. Agyemfra-Tettey, and Nketia J H Kwabena. *African Dance in Ghana: Contemporary Transformations*. London: Mot Juste Limited, 2016.",nii-yartey
"O., Quarcoopome T N. *West African Traditional Religion*. Ibadan, Oyo: African Universities Press, 1987.",o
"Pierre, Jemima. *The Predicament of Blackness: Postcolonial Ghana and the Politics of Race*. Chicago: The University of Chicago Press, 2013.",pierre
"Quaye, Widad Adaku. 2019. ""Victory over adversity: A comparative study of *homowo* in ghana and *thanksgiving* in the united states of america."" Ph.D. diss., Webster University. Available From ProQuest Dissertations & Theses Global (2486426323).",quaye
"Schauert, Paul W. *Staging Ghana: Artistry and Nationalism in State Dance Ensembles*. Bloomington, IN: Indiana University Press, 2015.",schauert
"Wilks, I. (1989). *Asante in the nineteenth century: The structure and evolution of a political order*. Cambridge university press. ",wilks
"Younge, Paschal Yao. *Music and Dance Traditions of Ghana: History, Performance, and Teaching*. McFarland & Co., 2011.",younge