category,type,name,description,slug
Akan,membranophone,Aburukuwa,A small membranophone played with sticks. It plays the role of a signal drum in the Kete ensemble.,aburukuwa
Akan,idiophone,Adawura,A non-melodic idiophone bell; Akan name for boat shaped bell bearing a striking resemblance to the Eʋe atoke.,adawura
Akan,membranophone,Apentemma,"A small, single-head, membranophone (smaller version of the Ɔperenten). It serves as an ensemble intermediary drum in various Akan settings, especially in the Adowa ensemble.",apentemma
Akan,membranophone,Ɔperenten,"A single-head membranophone that serves as an ensemble intermediary drum in various Akan settings, especially Adowa ensemble.",operenten
Akan,membranophone,Atumpan,Pair of single-headed membranophones used across West Africa for playing speech texts. ,atumpan
Akan,membranophone,Donno,A double-headed hourglass drum played under the armpit with a stick. It serves a similiar function as the Luƞa.,donno
Akan,membranophone,Kwadum,A single-head membranophone and the master or lead drum in the Kete ensemble.,kwadum
Akan,idiophone,Nntorowa,A non-melodic idiophone shaker; embellishes the kete dawuro.,nntorowa
Akan,membranophone,Petia,A single-head membranophone and the smallest drum in the Adowa ensemble.,petia
Dagbamba,membranophone,Guƞgoƞ ,A large cylindrical laced double-headed membranophone played in most Dagbama ensembles.,gungon
Dagbamba,aerophone,Kalamboo ,A transverse aerophone made from cane consisting of four tone holes.,kalamboo
Dagbamba,membranophone,Luƞa ,A double-headed hourglass drum played under the armpit with a stick.,luna
Dagbamba,idiophone,Saɣyelim ,A pair of woven basket shakers.,sagyelim
Ga,membranophone,Atswereshie,"A single-headed drum, conga-like in appearance. This drum symbolzied a new era of music and drumming as it was invented following the independence of Ghana. Also known as kpanlogo drum or kpanlogo mii.",atswereshie
Ga,idiophone,Dodompo,A small finger bell or castanet.,dodompo
Ga,membranophone,Gome,A single-headed box drum.,gome
Ga,idiophone,Maracas,"Non-melodic idiophones often created from gourds with beads inside. The appropriation of Cuban, Venzuelan, or Guatamalen maracas is common.",maracas
Ga,idiophone,Ƞono,A large bell used to provide the rhythmic framework for the ensemble.,nono
Ga,idiophone,Shekeshe,"A large gourd with beads around the outside, embellishes the rhythmic figure of the Ƞono.",shekeshe
Northern Eʋe,idiophone,Akaye,A non-melodic idiophone gourd shaker. Beads or seeds are inside the hollowed gourd. The instrument is excusively played by Women in all Northern Eʋe musical settings.,akaye
Northern Eʋe,membranophone,Asiʋui,A single headed membranophone. The Asiʋui is the lead drum in the Northern Eʋe ensemble.,asivui
Northern Eʋe,idiophone,Gakogoe,"Double bell instrument, foundational for establishing the Eʋe clave pattern in most, if not all, ensembles. (Gakogui -  S. Eʋe)",gakogoe
Northern Eʋe,idiophone,Gakpeve,"Double bell instrument, foundational for establishing the Eʋe clave pattern in most, if not all, ensembles. (Gakogui -  S. Eʋe, Gakogoe -  N. Eʋe)",gakpeve
Northern Eʋe,idiophone,Kretsiwa,A non-melodic idiophone finger-bell castanet.,kretsiwa
Northern Eʋe,membranophone,Krokoto,"A ceremonial single-headed membranophone performed by chiefs, hunters, and warriors. It is used as a speech surrogate and signal drum.",krokoto
Northern Eʋe,aerophone,Lãdzo (ae),"The horn of an antelope or other large game. Reserved solely for the chief, the instrument is played by blowing air across an opening.",ladzo-ae
Northern Eʋe,idiophone,Lãdzo (id),Smaller horns from an antelope or other large game are used as percussive block accompaniment to the Gakogoe.,ladzo-id
Northern Eʋe,idiophone,Mba,Wooden clappers made from bamboo.,mba
Northern Eʋe,membranophone,Uuvi,Secondary lead drum in the Eʋe ensemble. Will communicate with and accompany the Asiʋui.,uuvi
Northern Eʋe,membranophone,Ʋugã,A single-head membranophone lead drum in the Bɔbɔɔbɔ ensemble,vuga
Southern Eʋe,membranophone,Agblɔʋu,Speech surrogate as well as a supporting drum in many Eʋe ensembles.,agbloovu
Southern Eʋe,idiophone,Atoke,"A non-melodic, boat-shaped idiophone bell. The atoke is used to embellish and assist the role of the gakogui. ",atoke
Southern Eʋe,membranophone,Atopani,"A single head membranophone, originally from Akan origin, that is mostly used inside the court of chiefs.",atopani
Southern Eʋe,membranophone,Atsimeʋu,A single head membranophone and the largest drum in the Eʋe ensemble. It primarily serves as the lead drum,atsimevu
Southern Eʋe,idiophone,Axatse,A beaded gourd idiophone that embelleshes the gakogui rhythmic figure.,axatse
Southern Eʋe,idiophone,Gakogui,"Double bell instrument, foundational for establishing the Eʋe clave pattern in most, if not all, ensembles. (Gakogoe -  N. Eʋe)",gakogui
Southern Eʋe,membranophone,Gboba,A large single-headed membranophone used primarily in the Kinky and Gahu dances.,gboba
Southern Eʋe,membranophone,Kagan,"A single-headed membranophone. The smallest and highest pitched drum in the Eʋe ensemble. The ""child"" drum",kagan
Southern Eʋe,membranophone,Kidi,"A single headed membranophone, having all the featurs of the Sogo but smaller. It doubles the Sogo or partakes in dialogue with the Sogo. The ""mother"" drum.",kidi
Southern Eʋe,membranophone,Kroboto,A large single-headed membranophone used as a war drum.,kroboto
Southern Eʋe,membranophone,Sogo,A single-headed membranophone literally meaning father drum. Functions as a leader to Kidi and Kagan drums.,sogo
Southern Eʋe,membranophone,Taʋugã,A single-headed membranophone reserved for politcal events and draped in white cloth to symbolize purity.,tavuga